date,     hour,   close_price,max_price,  min_price,  Total volume in BTC
20170113, 010000, 0.01520968, 0.01538100, 0.01438549, 546.793284
20170114, 010000, 0.01520981, 0.01527000, 0.01484304, 440.883474
20170115, 010000, 0.01499521, 0.01529726, 0.01491764, 310.681794
20170116, 010000, 0.01515129, 0.01526803, 0.01480003, 274.646351
20170117, 010000, 0.01545621, 0.01639990, 0.01495865, 808.788501
20170118, 010000, 0.01561393, 0.01608471, 0.01539330, 477.881996
20170119, 010000, 0.01648091, 0.01645024, 0.01558203, 500.284433
20170120, 010000, 0.01711111, 0.01728930, 0.01600300, 1092.62646
20170121, 010000, 0.01657146, 0.01730000, 0.01648222, 689.321019
20170122, 010000, 0.01633971, 0.01659355, 0.01600090, 349.814716
20170123, 010000, 0.01625341, 0.01688747, 0.01622116, 477.001981
